UniProtKB:A5GHK6	BCAS4
UniProtKB:A5GFX4	ATP5E
UniProtKB:A5GFW0	C17H20orf108
UniProtKB:A5GFT0	STX16
UniProtKB:A5GFS8	VAPB
UniProtKB:Q1G1K7	IDH3B
UniProtKB:A5GFS1	ATP9A
UniProtKB:C3S7K6	S100A9
UniProtKB:A0A286ZPZ5	CLUH
UniProtKB:A0A286ZPX7	PYM1
UniProtKB:A0A286ZQ46	EMC10
UniProtKB:A0A286ZPR8	UQCRB
UniProtKB:A0A286ZPQ4	DENND4C
UniProtKB:A0A286ZPL0	RUNDC3A
UniProtKB:A0A286ZPI7	VPS26C
UniProtKB:A0A286ZPF6	REEP1
UniProtKB:A0A286ZPF5	MAPK1
UniProtKB:A0A286ZPD7	TMED7
UniProtKB:A0A286ZP98	MRPL40
UniProtKB:A0A286ZP95	NKD2
UniProtKB:A0A286ZP17	DNAJB2
UniProtKB:A0A286ZNZ5	A0A286ZNZ5
UniProtKB:A0A286ZNY1	TUBA4A
UniProtKB:A0A286ZNW5	B4GALT7
UniProtKB:A0A286ZNS6	ELOVL2
UniProtKB:A0A286ZNR3	LRIT1
UniProtKB:A0A286ZNQ6	ATP8A1
UniProtKB:A0A286ZNI5	SBF2
UniProtKB:A0A286ZN89	A0A286ZN89
UniProtKB:A0A286ZN84	STXBP6
UniProtKB:A0A286ZMW3	HGFAC
UniProtKB:A0A286ZMU5	PCBP3
UniProtKB:A0A286ZN56	SEC62
UniProtKB:A0A286ZN53	MLPH
UniProtKB:A0A286ZN42	RBMS2
UniProtKB:A0A286ZMR5	SGK1
UniProtKB:A0A286ZN26	COG6
UniProtKB:A0A286ZN25	SIDT2
UniProtKB:A0A286ZMK4	METTL21A
UniProtKB:A0A286ZMG7	LRRC14B
UniProtKB:A0A286ZLV4	A0A286ZLV4
UniProtKB:A0A286ZLU6	C8orf88
UniProtKB:A0A286ZM25	A0A286ZM25
UniProtKB:A0A286ZLP7	PSMD9
UniProtKB:A0A286ZM16	FLCN
UniProtKB:A0A286ZLK7	ECI1
UniProtKB:A0A286ZLK0	SPRY4
UniProtKB:A0A286ZLH5	AMPD2
UniProtKB:A0A286ZLB3	OPA1
UniProtKB:A0A286ZLB1	TRAP1
UniProtKB:A0A286ZLB0	A0A286ZLB0
UniProtKB:A0A286ZLA1	EIF4EBP2
UniProtKB:A0A286ZKX2	CS
UniProtKB:A0A286ZKV7	WNK2
UniProtKB:A0A286ZKU8	UBAP2L
UniProtKB:A0A286ZL57	A0A286ZL57
UniProtKB:A0A286ZKS7	LOC110255953
UniProtKB:A0A286ZL14	ITCH
UniProtKB:A0A286ZKK7	ATG7
UniProtKB:A0A286ZKH9	SDCBP
UniProtKB:A0A286ZVZ4	A0A286ZVZ4
UniProtKB:A0A286ZW98	SULT1E1
UniProtKB:A0A286ZVX0	CARD19
UniProtKB:A0A286ZW72	RPL14
UniProtKB:A0A286ZW70	PPIB
UniProtKB:A0A286ZW13	KLK9
UniProtKB:A0A286ZVN4	GNG4
UniProtKB:A0A286ZUZ2	LOC110258596
UniProtKB:A0A286ZUZ1	SNX2
UniProtKB:A0A286ZUX9	MRPS30
UniProtKB:A0A286ZUQ6	NECAP1
UniProtKB:A0A286ZUL7	ROGDI
UniProtKB:A0A286ZUJ2	SPIN1
UniProtKB:A0A286ZUH2	KLHL20
UniProtKB:A0A286ZUD1	CRY1
UniProtKB:A0A286ZUC5	DNAJC15
UniProtKB:A0A286ZUA3	RBM24
UniProtKB:A0A286ZTW5	TPD52L1
UniProtKB:A0A286ZU43	MBIP
UniProtKB:A0A286ZTQ8	RAB11FIP3
UniProtKB:A0A286ZTL2	DMXL1
UniProtKB:A0A286ZTI7	IP6K3
UniProtKB:A0A286ZTI3	ARF1
UniProtKB:A0A286ZTF9	RCAN1
UniProtKB:A0A286ZTE1	SIGLEC1
UniProtKB:A0A286ZTD5	SRPK1
UniProtKB:A0A286ZTA4	ALDOB
UniProtKB:A0A286ZTA0	SPIRE1
UniProtKB:A0A286ZSX7	ULK3
UniProtKB:A0A286ZT68	NBEAL2
UniProtKB:A0A286ZT34	BZW2
UniProtKB:A0A286ZSM8	PIK3AP1
UniProtKB:A0A286ZSJ8	NT5C3A
UniProtKB:A0A286ZRX1	SEPT5
UniProtKB:A0A286ZS50	A0A286ZS50
UniProtKB:A0A286ZRS5	UBXN2A
UniProtKB:A0A286ZRP4	RPL3L
UniProtKB:A0A286ZS03	STMND1
UniProtKB:A0A286ZRL3	CYP20A1
UniProtKB:A0A286ZRK7	A0A286ZRK7
UniProtKB:A0A286ZRG0	SLC37A3
UniProtKB:A0A286ZRA1	A0A286ZRA1
UniProtKB:A0A286ZQZ7	CHGB
UniProtKB:A0A286ZR68	HSP90AB1
UniProtKB:A0A286ZR42	CRLS1
UniProtKB:A0A286ZR18	A0A286ZR18
UniProtKB:A0A286ZQP4	OSBPL2
UniProtKB:A0A286ZR06	MTMR1
UniProtKB:A0A286ZZW2	DCAF5
UniProtKB:A0A286ZZP5	A0A286ZZP5
UniProtKB:A0A286ZZN4	GSK3A
UniProtKB:A0A286ZZM5	DYM
UniProtKB:A0A286ZZL7	PFKL
UniProtKB:A0A286ZZL6	APIP
UniProtKB:A0A286ZZH4	MBTPS1
UniProtKB:A0A286ZZC6	MRPL23
UniProtKB:A0A286ZZA8	ARHGAP17
UniProtKB:A0A286ZZ73	RASSF3
UniProtKB:A0A286ZZ37	LPIN2
UniProtKB:A0A286ZZ34	DBT
UniProtKB:A0A286ZZ01	PARD6A
UniProtKB:A0A286ZYL7	ATP5F1D
UniProtKB:A0A286ZYK6	AKAP9
UniProtKB:A0A286ZYH6	DTYMK
UniProtKB:A8U4R4	tkt
UniProtKB:A0A286ZY50	VAMP2
UniProtKB:A0A286ZY45	CASP2
UniProtKB:A0A286ZXM0	AHNAK2
UniProtKB:A0A286ZXJ1	COG5
UniProtKB:A0A286ZXA8	CDKAL1
UniProtKB:A0A286ZXA4	AAMDC
UniProtKB:A0A286ZWW9	A0A286ZWW9
UniProtKB:A0A286ZWW1	RHOT1
UniProtKB:A0A286ZX60	ERN2
UniProtKB:A0A286ZX20	ARL5B
UniProtKB:A0A286ZWL1	LMOD1
UniProtKB:A0A286ZWE9	LGALS9
UniProtKB:A0A286ZWE0	PET100
UniProtKB:Q52NJ5	ARL1
UniProtKB:Q52NJ4	ARL3
UniProtKB:F1RYU8	PPEF2
UniProtKB:A0A286ZKG1	EIF2B1
UniProtKB:A0A286ZKD8	CPLX1
UniProtKB:A0A286ZKB2	DGAT1
UniProtKB:A0A286ZKA7	LOC100157391
UniProtKB:A0A286ZK90	PGAP2
UniProtKB:A0A286ZJU8	LYPLAL1
UniProtKB:A0A286ZK64	COQ8A
UniProtKB:A0A286ZK58	A0A286ZK58
UniProtKB:A0A286ZK37	CDC14B
UniProtKB:A0A286ZK30	TMEM241
UniProtKB:A0A286ZJP2	NUMBL
UniProtKB:A0A286ZK05	OAS2
UniProtKB:A0A286ZJI8	A0A286ZJI8
UniProtKB:A0A286ZJG5	GIGYF2
UniProtKB:A0A286ZJC2	CYP2C49
UniProtKB:A0A286ZIX2	BICDL1
UniProtKB:A0A286ZJ84	A0A286ZJ84
UniProtKB:A0A286ZJ67	DAPK2
UniProtKB:A0A286ZIU3	ORMDL3
UniProtKB:A0A286ZIS0	GMDS
UniProtKB:A0A286ZIR3	LOC100516797
UniProtKB:A0A286ZIR0	GIMAP1
UniProtKB:A0A286ZJ25	MRPS7
UniProtKB:A0A286ZJ05	ARFGAP1
UniProtKB:A0A286ZIM7	NDRG2
UniProtKB:A0A286ZIB3	LTN1
UniProtKB:A0A286ZI89	VPS50
UniProtKB:A0A286ZI87	GZMB
UniProtKB:A0A286ZI83	LOC100520329
UniProtKB:A0A286ZI35	FNIP1
UniProtKB:A0A286ZI25	PARP14
UniProtKB:A0A286ZI01	ATXN2
UniProtKB:F6QAE4	TPRKB
UniProtKB:M3VH47	CSNK1D
UniProtKB:M3VK37	CYP2S1
UniProtKB:M3VK02	AP3D1
UniProtKB:M3VH81	XPR1
UniProtKB:M3TYR7	NAPRT1
UniProtKB:Q7YS99	OPTN
UniProtKB:P01232	LHB
UniProtKB:B2CR16	OAZ2
UniProtKB:B2CR15	OAZ1
UniProtKB:D0V557	TOMM40
UniProtKB:P02587	TNNC2
UniProtKB:P34934	P34934
UniProtKB:B8XTR3	AGPAT5
UniProtKB:B8XTR1	AGPAT3
UniProtKB:B8XSK3	PFKFB1
UniProtKB:B8XSK1	MKNK1
UniProtKB:A0A287BBZ0	CES1
UniProtKB:V5PZZ6	ARRDC5
UniProtKB:A0A5G2QL25	CBR4
UniProtKB:P50130	DRD1
UniProtKB:A0A480QQS9	RAB31
UniProtKB:F1SG75	SSPN
UniProtKB:Q28944	CTSL
UniProtKB:P50129	HTR2A
UniProtKB:A0A287AT54	FLII
UniProtKB:P50121	RBP2
UniProtKB:F1SG69	BACE2
UniProtKB:F1SFU2	CTDNEP1
