UniProtKB:C3S7K6	S100A9
UniProtKB:A0A286ZPK7	A0A286ZPK7
UniProtKB:A0A286ZPD3	NRG1
UniProtKB:A0A286ZP42	A0A286ZP42
UniProtKB:A0A286ZNI0	LRIG2
UniProtKB:A0A286ZMW3	HGFAC
UniProtKB:A0A286ZLI7	A0A286ZLI7
UniProtKB:A0A286ZLI4	CCL24
UniProtKB:A0A286ZTU7	LOC106504547
UniProtKB:A0A286ZTF4	CXCL2
UniProtKB:A0A286ZSX6	A0A286ZSX6
UniProtKB:A0A286ZT61	A0A286ZT61
UniProtKB:A0A286ZRX5	SPARCL1
UniProtKB:A0A286ZRV9	A0A286ZRV9
UniProtKB:A0A286ZS02	SERPINA4
UniProtKB:A0A286ZRA4	A0A286ZRA4
UniProtKB:A0A286ZQZ7	CHGB
UniProtKB:A0A286ZQK6	ZG16B
UniProtKB:A0A286ZQH2	A0A286ZQH2
UniProtKB:A0A286ZQC9	PRSS41
UniProtKB:A0A286ZZ02	LRRC17
UniProtKB:A0A286ZXS6	LOC100516039
UniProtKB:A0A286ZXA0	IGFBP7
UniProtKB:A0A286ZJ76	ANGPTL1
UniProtKB:A0A286ZIM1	A0A286ZIM1
UniProtKB:A0A286ZHY0	COL16A1
UniProtKB:A0A286ZI79	PDGFA
UniProtKB:P01287	GHRH
UniProtKB:P01238	PRL
UniProtKB:P01232	LHB
UniProtKB:P01356	CCK
UniProtKB:P01351	GAST
UniProtKB:P01300	PPY
UniProtKB:P00772	CELA1
UniProtKB:F6Q5E9	DKK3
UniProtKB:P01846	P01846
UniProtKB:A0A5G2QL24	NTF3
UniProtKB:Q28944	CTSL
UniProtKB:F1SFS3	ADAMTS9
UniProtKB:F1SG25	ANOS1
UniProtKB:P14460	FGA
UniProtKB:F1SFJ8	DNAJB11
UniProtKB:A0A287AZV2	CEP55
UniProtKB:O46427	CTSH
UniProtKB:P34964	NMU
UniProtKB:Q60I29	IL17A
UniProtKB:A0A287AZP0	MFAP4
UniProtKB:F1SFA7	COL1A2
UniProtKB:F1SFA2	PON2
UniProtKB:A0A287A7W6	ADAMTS17
UniProtKB:A0A5G2QK90	CASP1
UniProtKB:F1SEZ2	IL19
UniProtKB:A0A5G2QK35	HTRA1
UniProtKB:A0A5G2QVW3	CSF3
UniProtKB:F1SEV7	GSDMD
UniProtKB:A0A287AZD5	MMP9
UniProtKB:F1SF68	NXPH1
UniProtKB:Q07717	B2M
UniProtKB:Q1RLJ7	DEFB114
UniProtKB:F1SES5	ASAH1
UniProtKB:A0A5H1ZRV9	SCT
UniProtKB:F1SF28	ZPBP
UniProtKB:A0A5G2QJK0	LGALS4
UniProtKB:A0A5S6GG93	IL10
UniProtKB:F1S567	VCAM1
UniProtKB:A0A287AYZ9	HJV
UniProtKB:F1SEL7	RBP3
UniProtKB:A0A5K1UYV7	ATRN
UniProtKB:A0A287AZ63	TULP2
UniProtKB:A0A5G2QJA9	C3
UniProtKB:A0A5K1UZ28	PYY
UniProtKB:F6QA08	PDIA3
UniProtKB:A0A5G2QJ74	FAM3A
UniProtKB:A0A287AYJ8	SERPINF1
UniProtKB:A0A287AYJ5	GAS6
UniProtKB:A0A287AYH9	PPT1
UniProtKB:Q9MYM5	IL5
UniProtKB:F1RKJ8	ADAMTS19
UniProtKB:Q29290	CSTB
UniProtKB:Q29288	CCL5
UniProtKB:A0A5G2QIH3	DNAH11
UniProtKB:A0A480JRG6	TSKU
UniProtKB:A0A5G2QIF5	LOC106510284
UniProtKB:A0A287AXY1	GLIPR1
UniProtKB:Q29244	PIGR
UniProtKB:A0A287AXU0	ELN
UniProtKB:P04416	P04416
UniProtKB:A0A287AY01	GNRH2
UniProtKB:A5D9M6	BAG6
UniProtKB:A0A287AT21	SORD
UniProtKB:A0A5G2QHV1	NAGLU
UniProtKB:A0A287AXI8	FSTL3
UniProtKB:A0A287AXH1	SMPD3
UniProtKB:K7GSJ9	TGFB3
UniProtKB:Q9TUQ3	C7
UniProtKB:F1RUE4	GPLD1
UniProtKB:F1S6H0	KIRREL3
UniProtKB:A0A287BL72	A0A287BL72
UniProtKB:A0A287BL61	NGF
UniProtKB:A0A287A5C6	LHB
UniProtKB:P39092	A1BG
UniProtKB:P80928	MIF
UniProtKB:F1SRY9	AAMP
UniProtKB:Q52N47	ITM2B
UniProtKB:P79897	GUCA2A
UniProtKB:F1SVA2	TINAGL1
UniProtKB:F1S6Q3	CILP2
UniProtKB:F1RV24	FAM20A
UniProtKB:A0A286ZNH9	COL25A1
UniProtKB:A0A287AK31	THBS3
UniProtKB:A0A5G2QZT5	A0A5G2QZT5
UniProtKB:A0A5K1U4T1	CD274
UniProtKB:A0A287BKG2	CHI3L1
UniProtKB:A0A287A567	SLC9A3
UniProtKB:A0A287A551	MGAT5
UniProtKB:F1SV57	MMP12
UniProtKB:A0A5G2QZN6	CKM
UniProtKB:A0A287BKA9	CCN6
UniProtKB:A0A286ZYV6	SLC11A2
UniProtKB:I3L559	CPA4
UniProtKB:F1SUN2	PLA2G2C
UniProtKB:A0A5G2QZH2	KNG1
UniProtKB:A0A5G2QZF5	VSTM2L
UniProtKB:F1RVE5	TMPRSS11D
UniProtKB:A0A287BK89	LOC110257049
UniProtKB:A0A287BJW1	SMPDL3B
UniProtKB:F1SUI0	NTN3
UniProtKB:A0A287BJV8	C1QTNF8
UniProtKB:F1RVH7	IGFBP7
UniProtKB:F1SUG0	PRSS33
UniProtKB:E2I6L6	IGFBP5
UniProtKB:A0A287A4B5	IL1B
UniProtKB:F1SUB6	PRF1
UniProtKB:F1SUA0	FBLN7
UniProtKB:A0A287BJL7	IGF2
UniProtKB:A0A287A3Z4	RBP4
UniProtKB:I3LEE9	MMP14
UniProtKB:P62968	TRH
UniProtKB:A0A287A3W3	PYCR3
UniProtKB:F1S7Y0	HTRA3
UniProtKB:A0A287BJE4	PLA2G7
UniProtKB:F1SU77	PLA2G12B
UniProtKB:A0A287A3Q5	KARS1
UniProtKB:P49151	VEGFA
UniProtKB:F6Q3U4	F6Q3U4
UniProtKB:A0A287A3L1	PLA2G2D
UniProtKB:A0A286ZM99	KLK8
UniProtKB:A0A286ZM82	CALU
UniProtKB:A0A286ZM79	PLA2G2F
UniProtKB:A0A287BJ98	LOC106506206
UniProtKB:F1S8I0	RNASE12
UniProtKB:A0A287BJ68	KITLG
UniProtKB:A0A287BJ65	LCN2
UniProtKB:A0A287BIU2	EFEMP2
UniProtKB:A0A287A3D8	CD34
UniProtKB:A0A287BJ05	SEPTIN2
UniProtKB:A0A286ZLK9	IMPG2
UniProtKB:B8XH67	SLC9A3R1
UniProtKB:Q9GLP2	PROC
UniProtKB:F1S8R7	HAUS3
UniProtKB:A0A5G2R9V7	LOXL3
UniProtKB:A0A286ZQU2	KLK13
UniProtKB:A0A5K1TWC1	APOD
UniProtKB:O18796	IL6R
UniProtKB:P00795	CTSD
UniProtKB:P00791	PGA
UniProtKB:F1S3Q8	VNN3
UniProtKB:F1RS42	NEK10
UniProtKB:F1RRT8	OC90
UniProtKB:F1RRU0	LRRC6
UniProtKB:A0A287BT12	CCN5
UniProtKB:A0A287BNG2	DEFB127
UniProtKB:A0A286ZQC7	APOA1
UniProtKB:A0A287BNF7	C1QA
UniProtKB:I3L871	CD40LG
UniProtKB:A0A286ZPU6	A0A286ZPU6
UniProtKB:A0A287BN95	DEFB128
UniProtKB:A0A287BN94	NPB
UniProtKB:A0A287BN92	SERPINB9
UniProtKB:A0A287A7G8	H2BC11
UniProtKB:A0A286ZPT1	SNX18
UniProtKB:P12068	P12068
UniProtKB:P12067	P12067
