UniProtKB:A5GFX4	ATP5E
UniProtKB:A5GFT0	STX16
UniProtKB:A5GFS8	VAPB
UniProtKB:A5GFS1	ATP9A
UniProtKB:A0A286ZQ69	CACNA1B
UniProtKB:A0A286ZQ46	EMC10
UniProtKB:A0A286ZPR8	UQCRB
UniProtKB:A0A286ZPK0	MPIG6B
UniProtKB:A0A286ZPI6	TMEM235
UniProtKB:A0A286ZPF6	REEP1
UniProtKB:A0A286ZP31	A0A286ZP31
UniProtKB:A0A286ZP17	DNAJB2
UniProtKB:A0A286ZNS6	ELOVL2
UniProtKB:A0A286ZNR3	LRIT1
UniProtKB:A0A286ZNQ6	ATP8A1
UniProtKB:A0A286ZNI5	SBF2
UniProtKB:A0A286ZN84	STXBP6
UniProtKB:A0A286ZN56	SEC62
UniProtKB:A0A286ZN55	AMIGO1
UniProtKB:A0A286ZN25	SIDT2
UniProtKB:A0A286ZMG6	SORCS2
UniProtKB:A0A286ZM25	A0A286ZM25
UniProtKB:A0A286ZLI7	A0A286ZLI7
UniProtKB:A0A286ZLD5	PRMT8
UniProtKB:A0A286ZLB9	ADGRD1
UniProtKB:A0A286ZLB3	OPA1
UniProtKB:A0A286ZLB1	TRAP1
UniProtKB:A0A286ZKU6	PCDH1
UniProtKB:A0A286ZKH9	SDCBP
UniProtKB:A0A286ZKH7	PALM
UniProtKB:A0A286ZVZ4	A0A286ZVZ4
UniProtKB:A0A286ZW53	LOC110260932
UniProtKB:A0A286ZVN4	GNG4
UniProtKB:A0A286ZUZ1	SNX2
UniProtKB:A0A286ZUV4	CMTM3
UniProtKB:A0A286ZUQ6	NECAP1
UniProtKB:A0A286ZV23	EGFR
UniProtKB:A0A286ZUI2	GALR1
UniProtKB:A0A286ZUC5	DNAJC15
UniProtKB:A0A286ZU37	EPS8L3
UniProtKB:A0A286ZTQ8	RAB11FIP3
UniProtKB:A0A286ZTI3	ARF1
UniProtKB:A0A286ZTE1	SIGLEC1
UniProtKB:A0A286ZTC7	SLC4A4
UniProtKB:A0A286ZTA0	SPIRE1
UniProtKB:A0A286ZSX6	A0A286ZSX6
UniProtKB:A0A286ZT68	NBEAL2
UniProtKB:A0A286ZT32	IL10RB
UniProtKB:A0A286ZSJ2	CRHR2
UniProtKB:A0A286ZRW1	SERINC1
UniProtKB:A0A286ZS77	BSG
UniProtKB:A0A286ZRR5	KCNH7
UniProtKB:A0A286ZRL3	CYP20A1
UniProtKB:A0A286ZRG0	SLC37A3
UniProtKB:A0A286ZRE9	CMTM2
UniProtKB:A0A286ZRB8	IL13RA1
UniProtKB:A0A286ZR88	SLC29A2
UniProtKB:A0A286ZQV0	PLSCR5
UniProtKB:A0A286ZR68	HSP90AB1
UniProtKB:A0A286ZR62	LOC100624174
UniProtKB:A0A286ZR25	LOC102158214
UniProtKB:A0A286ZQP4	OSBPL2
UniProtKB:A0A286ZR06	MTMR1
UniProtKB:A0A286ZQH4	SPN
UniProtKB:A0A286ZQA8	CHRNA6
UniProtKB:A0A286ZZW4	TM9SF3
UniProtKB:A0A286ZZT6	LOC110261361
UniProtKB:A0A286ZZP5	A0A286ZZP5
UniProtKB:A0A286ZZL7	PFKL
UniProtKB:A0A286ZZ61	SYK
UniProtKB:A0A286ZYT1	ABHD2
UniProtKB:A0A286ZZ37	LPIN2
UniProtKB:A0A286ZZ01	PARD6A
UniProtKB:A0A286ZYL7	ATP5F1D
UniProtKB:A0A286ZYL5	A0A286ZYL5
UniProtKB:A0A286ZYK6	AKAP9
UniProtKB:A0A286ZYA3	IFNLR1
UniProtKB:A8U4R4	tkt
UniProtKB:A0A286ZXU8	LANCL1
UniProtKB:A0A286ZY50	VAMP2
UniProtKB:A0A286ZWW1	RHOT1
UniProtKB:A0A286ZX60	ERN2
