Gene stable ID	Gene name
ENSSSCG00000018065	ND1
ENSSSCG00000018069	ND2
ENSSSCG00000018075	COX1
ENSSSCG00000018078	COX2
ENSSSCG00000018080	ATP8
ENSSSCG00000018081	ATP6
ENSSSCG00000018082	COX3
ENSSSCG00000018084	ND3
ENSSSCG00000018086	ND4L
ENSSSCG00000018087	ND4
ENSSSCG00000018091	ND5
ENSSSCG00000018092	ND6
ENSSSCG00000018094	CYTB
ENSSSCG00000037032	DNASE1L1
ENSSSCG00000032876	OR5AU1
ENSSSCG00000033175	SASH1
ENSSSCG00000015247	ZBTB44
ENSSSCG00000008820	TEC
ENSSSCG00000016608	IQUB
ENSSSCG00000007351	FAM83D
ENSSSCG00000001682	DLK2
ENSSSCG00000007547	ADAP1
ENSSSCG00000034405	MEI1
ENSSSCG00000044413	
ENSSSCG00000012278	CFP
ENSSSCG00000009230	WDFY3
ENSSSCG00000005426	FSD1L
ENSSSCG00000009815	CAMKK2
ENSSSCG00000015162	OR10S1
ENSSSCG00000005997	COL14A1
ENSSSCG00000034704	ZNF532
ENSSSCG00000002292	PLEKHH1
ENSSSCG00000014067	TMEM174
ENSSSCG00000015611	UTP25
ENSSSCG00000029034	COX4I1
ENSSSCG00000039655	TAZ
ENSSSCG00000041067	
ENSSSCG00000044995	
ENSSSCG00000008396	CCDC85A
ENSSSCG00000013883	COLGALT1
ENSSSCG00000012668	
ENSSSCG00000029705	
ENSSSCG00000051776	
ENSSSCG00000038942	OR10G6
ENSSSCG00000029326	CCNB1
ENSSSCG00000015249	ADAMTS8
ENSSSCG00000039351	PIGH
ENSSSCG00000045958	
ENSSSCG00000003086	
ENSSSCG00000017314	SPPL2C
ENSSSCG00000010290	MCU
ENSSSCG00000003660	PABPC4
ENSSSCG00000024667	MICU2
ENSSSCG00000040949	
ENSSSCG00000006620	TUFT1
ENSSSCG00000002294	ARG2
ENSSSCG00000042473	
ENSSSCG00000027553	
ENSSSCG00000012618	SOWAHD
ENSSSCG00000001688	TJAP1
ENSSSCG00000008821	SLAIN2
ENSSSCG00000023603	UBALD1
ENSSSCG00000029843	NPHP4
ENSSSCG00000038964	COX19
ENSSSCG00000014071	BTF3
ENSSSCG00000007352	DHX35
ENSSSCG00000000536	ERGIC2
ENSSSCG00000015612	IRF6
ENSSSCG00000037310	ATP6AP1
ENSSSCG00000045808	
ENSSSCG00000038250	ZNF772
ENSSSCG00000048514	
ENSSSCG00000027147	CENPH
ENSSSCG00000041818	
ENSSSCG00000007549	CYP2W1
ENSSSCG00000016609	SLC13A1
ENSSSCG00000002295	VTI1B
ENSSSCG00000045195	
ENSSSCG00000004453	SNAP91
ENSSSCG00000012031	CLDN17
ENSSSCG00000033421	
ENSSSCG00000000058	SNU13
ENSSSCG00000031816	
ENSSSCG00000051205	P2RX4
ENSSSCG00000013162	
