Species	Symbol	Ensembl	Family	Protein	Entrez ID
Sus_scrofa	-	ENSSSCG00000039002	HMG	ENSSSCP00000049950;	-
Sus_scrofa	NFE2	ENSSSCG00000000289	TF_bZIP	ENSSSCP00000050193;ENSSSCP00000000305;ENSSSCP00000035078;	100157948
Sus_scrofa	ZNF689	ENSSSCG00000033496	zf-C2H2	ENSSSCP00000044660;	106508768
Sus_scrofa	TFAM	ENSSSCG00000040185	HMG	ENSSSCP00000042490;	397279
Sus_scrofa	ETV5	ENSSSCG00000023229	ETS	ENSSSCP00000044486;ENSSSCP00000022306;	100623208
Sus_scrofa	EBF1	ENSSSCG00000017046	COE	ENSSSCP00000034691;ENSSSCP00000022317;ENSSSCP00000018059;	100520467
Sus_scrofa	SPI1	ENSSSCG00000013237	ETS	ENSSSCP00000014065;	414912
Sus_scrofa	DMRTA2	ENSSSCG00000030552	DM	ENSSSCP00000020786;	100515384
Sus_scrofa	JAZF1	ENSSSCG00000016691	zf-C2H2	ENSSSCP00000034987;	100517019
Sus_scrofa	PIAS3	ENSSSCG00000006689	zf-MIZ	ENSSSCP00000007133;ENSSSCP00000032276;	100511878
Sus_scrofa	ALX3	ENSSSCG00000006812	Homeobox	ENSSSCP00000007266;	100512714
Sus_scrofa	-	ENSSSCG00000012179	zf-C2H2	ENSSSCP00000012966;ENSSSCP00000047137;ENSSSCP00000032325;ENSSSCP00000043420;	100624329
Sus_scrofa	LCORL	ENSSSCG00000008748	HTH	ENSSSCP00000032564;ENSSSCP00000057581;ENSSSCP00000056526;ENSSSCP00000009324;	100337668
Sus_scrofa	ATF4	ENSSSCG00000000084	TF_bZIP	ENSSSCP00000000089;ENSSSCP00000052530;ENSSSCP00000057464;	100144302
Sus_scrofa	ZNF852	ENSSSCG00000022462	zf-C2H2	ENSSSCP00000042989;ENSSSCP00000026305;	100626731
Sus_scrofa	ZNF614	ENSSSCG00000003241	zf-C2H2	ENSSSCP00000033157;ENSSSCP00000003517;	100516977
Sus_scrofa	ZBTB20	ENSSSCG00000026113	ZBTB	ENSSSCP00000041040;ENSSSCP00000041040;ENSSSCP00000052796;ENSSSCP00000052796;ENSSSCP00000040279;ENSSSCP00000040279;ENSSSCP00000033410;ENSSSCP00000033410;ENSSSCP00000019763;ENSSSCP00000019763;ENSSSCP00000056097;ENSSSCP00000034886;	100624908
Sus_scrofa	-	ENSSSCG00000026045	zf-C2H2	ENSSSCP00000024127;ENSSSCP00000037195;	100623035
Sus_scrofa	GTF2IRD1	ENSSSCG00000007720	GTF2I	ENSSSCP00000042141;ENSSSCP00000008245;ENSSSCP00000036014;	100510956
Sus_scrofa	REST	ENSSSCG00000023357	zf-C2H2	ENSSSCP00000021593;ENSSSCP00000058271;ENSSSCP00000009485;ENSSSCP00000037108;ENSSSCP00000053691;	100621006
Sus_scrofa	-	ENSSSCG00000003324	zf-C2H2	ENSSSCP00000003605;ENSSSCP00000045994;ENSSSCP00000054385;ENSSSCP00000045095;	102161426
Sus_scrofa	ATF5	ENSSSCG00000003201	TF_bZIP	ENSSSCP00000046653;ENSSSCP00000003473;	100523675
Sus_scrofa	MXI1	ENSSSCG00000022128	bHLH	ENSSSCP00000057742;ENSSSCP00000022213;ENSSSCP00000051639;	100154269
Sus_scrofa	TBX6	ENSSSCG00000034774	T-box	ENSSSCP00000051242;	110260084
Sus_scrofa	YBX2	ENSSSCG00000017938	CSD	ENSSSCP00000019004;	100519387
Sus_scrofa	ZNF385A	ENSSSCG00000000292	zf-C2H2	ENSSSCP00000055090;ENSSSCP00000000307;ENSSSCP00000046514;	100736804
Sus_scrofa	ZBTB1	ENSSSCG00000023724	ZBTB	ENSSSCP00000022624;ENSSSCP00000055012;	100737620
Sus_scrofa	MEIS2	ENSSSCG00000004795	Homeobox	ENSSSCP00000036177;ENSSSCP00000005164;ENSSSCP00000055860;	100512756
Sus_scrofa	NR2C2	ENSSSCG00000011594	RXR-like	ENSSSCP00000012357;ENSSSCP00000040860;	100513111
Sus_scrofa	ESRRG	ENSSSCG00000010814	ESR-like	ENSSSCP00000051205;ENSSSCP00000059372;ENSSSCP00000011527;ENSSSCP00000053415;	100622056
Sus_scrofa	HOXC12	ENSSSCG00000000281	Homeobox	ENSSSCP00000000297;	100518782
Sus_scrofa	ZNF444	ENSSSCG00000035770	zf-C2H2	ENSSSCP00000036821;ENSSSCP00000049268;	110261069
Sus_scrofa	MAFA	ENSSSCG00000034820	TF_bZIP	ENSSSCP00000035704;ENSSSCP00000052564;	-
Sus_scrofa	FOXD1	ENSSSCG00000035878	Fork_head	ENSSSCP00000037878;	110259399
Sus_scrofa	SMAD5	ENSSSCG00000014319	MH1	ENSSSCP00000032987;ENSSSCP00000030841;ENSSSCP00000015232;ENSSSCP00000050696;	100624262
Sus_scrofa	HOXD1	ENSSSCG00000015986	Homeobox	ENSSSCP00000016938;	100157662
Sus_scrofa	USF1	ENSSSCG00000006371	bHLH	ENSSSCP00000043886;ENSSSCP00000006791;ENSSSCP00000056312;	100156913
Sus_scrofa	ZNF32	ENSSSCG00000010416	zf-C2H2	ENSSSCP00000011105;ENSSSCP00000047351;	100524111
Sus_scrofa	SOX30	ENSSSCG00000017051	HMG	ENSSSCP00000018064;	100521345
Sus_scrofa	TSHZ1	ENSSSCG00000004861	zf-C2H2	ENSSSCP00000005234;	100152487
Sus_scrofa	EVX1	ENSSSCG00000016696	Homeobox	ENSSSCP00000017686;	100518282
Sus_scrofa	RFX8	ENSSSCG00000008165	RFX	ENSSSCP00000008716;	100516728
Sus_scrofa	RARG	ENSSSCG00000000258	THR-like	ENSSSCP00000032642;ENSSSCP00000000273;ENSSSCP00000052000;ENSSSCP00000031634;	100626982
Sus_scrofa	MESP1	ENSSSCG00000001847	bHLH	ENSSSCP00000002021;	100155863
Sus_scrofa	ZNF287	ENSSSCG00000018031	zf-C2H2	ENSSSCP00000019106;	100524396
Sus_scrofa	ZNF483	ENSSSCG00000037744	zf-C2H2	ENSSSCP00000032167;	110259660
Sus_scrofa	MTF1	ENSSSCG00000037516	zf-C2H2	ENSSSCP00000032204;	100511998
Sus_scrofa	MXD3	ENSSSCG00000014041	bHLH	ENSSSCP00000034545;ENSSSCP00000014930;	100512157
Sus_scrofa	FOXO3	ENSSSCG00000004387	Fork_head	ENSSSCP00000004735;ENSSSCP00000055546;ENSSSCP00000046649;	733621
Sus_scrofa	ZNF527	ENSSSCG00000021741	zf-C2H2	ENSSSCP00000048269;ENSSSCP00000043546;ENSSSCP00000051800;ENSSSCP00000052256;ENSSSCP00000020939;	102165184
Sus_scrofa	SREBF1	ENSSSCG00000033626	bHLH	ENSSSCP00000032504;ENSSSCP00000049305;ENSSSCP00000034784;	397308
Sus_scrofa	JARID2	ENSSSCG00000001061	ARID	ENSSSCP00000045247;ENSSSCP00000046629;ENSSSCP00000055006;ENSSSCP00000044142;ENSSSCP00000032809;ENSSSCP00000043767;ENSSSCP00000057326;ENSSSCP00000001131;ENSSSCP00000034394;	100524569
Sus_scrofa	ZSCAN4	ENSSSCG00000003987	zf-C2H2	ENSSSCP00000040104;ENSSSCP00000004308;	-
Sus_scrofa	SOX3	ENSSSCG00000022501	HMG	ENSSSCP00000023044;	100623770
Sus_scrofa	-	ENSSSCG00000040580	ETS	ENSSSCP00000050973;	-
Sus_scrofa	MYF5	ENSSSCG00000000937	bHLH	ENSSSCP00000001002;	-
Sus_scrofa	ZNF740	ENSSSCG00000036564	zf-C2H2	ENSSSCP00000043511;	100154762
Sus_scrofa	CREB3L2	ENSSSCG00000016520	TF_bZIP	ENSSSCP00000044759;ENSSSCP00000017504;ENSSSCP00000056475;	100520468
Sus_scrofa	ARNTL	ENSSSCG00000013397	bHLH	ENSSSCP00000014240;ENSSSCP00000057088;ENSSSCP00000014239;ENSSSCP00000039863;ENSSSCP00000051561;	100037286
